dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,,1,0.0,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-29T01:07:59.011481
uci,,1,0.0,5,0.8108333333333333,0.7789395929095392,0.791402932999722,0.8108333333333333,2025-09-29T01:07:59.035974
uci,,1,0.0,6,0.8071666666666667,0.7839334048990594,0.7853035974511213,0.8071666666666667,2025-09-29T01:07:59.062265
uci,,1,0.0,7,0.8058333333333333,0.7766946873744434,0.7828165793052735,0.8058333333333333,2025-09-29T01:07:59.091073
uci,,1,0.0,8,0.7993333333333333,0.7732003845990643,0.7738383307250913,0.7993333333333333,2025-09-29T01:07:59.124516
uci,,1,0.1,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:07:59.147560
uci,,1,0.1,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:07:59.173719
uci,,1,0.1,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:07:59.201560
uci,,1,0.1,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:07:59.233662
uci,,1,0.1,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:07:59.268938
uci,,1,0.2,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:07:59.292404
uci,,1,0.2,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:07:59.316130
uci,,1,0.2,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:07:59.343638
uci,,1,0.2,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:07:59.373594
uci,,1,0.2,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:07:59.408819
uci,,1,0.3,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:07:59.430641
uci,,1,0.3,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:07:59.453992
uci,,1,0.3,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:07:59.481271
uci,,1,0.3,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:07:59.512180
uci,,1,0.3,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:07:59.546197
uci,,1,0.4,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:07:59.567999
uci,,1,0.4,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:07:59.592678
uci,,1,0.4,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:07:59.619442
uci,,1,0.4,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:07:59.649212
uci,,1,0.4,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:07:59.683956
uci,,1,0.5,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:07:59.705960
uci,,1,0.5,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:07:59.729665
uci,,1,0.5,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:07:59.755485
uci,,1,0.5,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:07:59.785633
uci,,1,0.5,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:07:59.821143
uci,,1,0.6,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:07:59.842908
uci,,1,0.6,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:07:59.866498
uci,,1,0.6,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:07:59.894432
uci,,1,0.6,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:07:59.925256
uci,,1,0.6,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:07:59.963634
uci,,1,0.7,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:07:59.986697
uci,,1,0.7,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:08:00.012986
uci,,1,0.7,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:08:00.039146
uci,,1,0.7,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:08:00.068730
