dataset,max_depth,accuracy,f1_score,precision,recall
australian,4,0.8188405797101449,0.8193671224420555,0.8344359070464767,0.8188405797101449
australian,5,0.8333333333333334,0.833815307499518,0.8449074074074074,0.8333333333333334
australian,6,0.8333333333333334,0.833817752646691,0.836489898989899,0.8333333333333334
australian,7,0.8478260869565217,0.8482661503256469,0.859500805152979,0.8478260869565217
australian,8,0.8405797101449275,0.840816539947344,0.841407867494824,0.8405797101449275
german,4,0.735,0.7202093881403931,0.7484210526315789,0.735
german,5,0.73,0.7236009732360098,0.7351063829787233,0.73
german,6,0.74,0.7286693112152903,0.7274890723652259,0.74
german,7,0.73,0.7236009732360098,0.7284938941655359,0.73
german,8,0.74,0.7387185959850943,0.7417094017094017,0.74
uci,4,0.8201666666666667,0.7929567277516536,0.8047756295236272,0.8201666666666667
uci,5,0.817,0.7948107771061035,0.799395870389011,0.817
uci,6,0.818,0.7952751403415097,0.8006474276225027,0.818
uci,7,0.8158333333333333,0.7955251332875855,0.7972305521118521,0.8158333333333333
uci,8,0.8155,0.7919420608318081,0.79679043129205,0.8155
xinwang,4,0.8985183114341627,0.8517810039773073,0.9088197244513324,0.8985183114341627
xinwang,5,0.8987978753145094,0.8529424511361041,0.9090454750728724,0.8987978753145094
xinwang,6,0.8987978753145094,0.8537088360281891,0.8750996086470708,0.8987978753145094
xinwang,7,0.8985183114341627,0.8546502241440471,0.8658093374336036,0.8985183114341627
xinwang,8,0.8985183114341627,0.8556059945182304,0.8685160511304493,0.8985183114341627
