dataset,k,accuracy,f1_score,precision,recall
australian,5,0.7028985507246377,0.6918108093380213,0.7098645617667356,0.7028985507246377
australian,6,0.7028985507246377,0.6936156817163682,0.7073066464833349,0.7028985507246377
australian,7,0.7028985507246377,0.7019921233516946,0.701755372313843,0.7028985507246377
australian,8,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174
australian,9,0.7681159420289855,0.768460421741591,0.7691281343455256,0.7681159420289855
australian,10,0.7681159420289855,0.7676700111482719,0.767550037467857,0.7681159420289855
australian,11,0.7753623188405797,0.7695858148457154,0.7836326402016384,0.7753623188405797
australian,12,0.7608695652173914,0.7559169654309251,0.7679584120982987,0.7608695652173914
australian,13,0.7681159420289855,0.7657051915887411,0.7686306680178224,0.7681159420289855
australian,14,0.7681159420289855,0.7615274493718734,0.7774245493740586,0.7681159420289855
australian,15,0.7753623188405797,0.7761086234291492,0.7808397271952259,0.7753623188405797
australian,16,0.7536231884057971,0.753149386845039,0.7529950965302588,0.7536231884057971
australian,17,0.7753623188405797,0.771719545632589,0.7784420289855073,0.7753623188405797
australian,18,0.8478260869565217,0.8482661503256469,0.859500805152979,0.8478260869565217
australian,19,0.8333333333333334,0.833815307499518,0.8449074074074074,0.8333333333333334
australian,20,0.8405797101449275,0.840816539947344,0.841407867494824,0.8405797101449275
australian,21,0.8333333333333334,0.8331822625077756,0.833119658119658,0.8333333333333334
australian,22,0.7971014492753623,0.7974028690238921,0.7994847020933978,0.7971014492753623
german,5,0.695,0.6570829871021351,0.656523492639645,0.695
german,6,0.705,0.6606535947712417,0.6680000000000001,0.705
german,7,0.705,0.6606535947712417,0.6680000000000001,0.705
german,8,0.725,0.7060291060291061,0.7020979020979021,0.725
german,9,0.685,0.6728525405888169,0.6665693227645667,0.685
german,10,0.72,0.7236009732360098,0.7284938941655359,0.72
german,11,0.72,0.688472172136074,0.6920454545454545,0.72
german,12,0.74,0.7109922346850734,0.7211764705882353,0.74
german,13,0.695,0.6668848779575423,0.6614686142913542,0.695
german,14,0.73,0.7011857707509881,0.7072916666666665,0.73
german,15,0.73,0.7286693112152903,0.7282774643212746,0.73
german,16,0.715,0.7056903344293375,0.7064158509258168,0.715
german,17,0.725,0.7028342009458677,0.7027856076935831,0.725
german,18,0.715,0.7143096384461258,0.7136554874383941,0.715
german,19,0.72,0.6985214569058781,0.6971830985915493,0.72
german,20,0.71,0.703670634920635,0.6996881496881496,0.71
german,21,0.72,0.6834498834498833,0.692358803986711,0.72
german,22,0.71,0.6790513833992096,0.6802083333333334,0.71
german,23,0.73,0.6597560975609755,0.7351063829787233,0.73
german,24,0.705,0.6852941176470588,0.6926916221033868,0.705
german,25,0.71,0.6939867917970107,0.6992034517092598,0.71
german,26,0.72,0.7070422535211267,0.7046626984126985,0.72
german,27,0.7,0.6910450038138825,0.6879623824451412,0.7
german,28,0.71,0.6994952554007672,0.705655930871956,0.71
german,29,0.73,0.7018886198547216,0.7484210526315789,0.73
german,30,0.7,0.68,0.68,0.7
