dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,5,1,0.0,4,0.786,0.7403299380834751,0.747911854391981,0.786,2025-09-29T01:16:18.446527
uci,5,1,0.0,5,0.7855,0.7404675813641698,0.7470883172354867,0.7855,2025-09-29T01:16:18.459609
uci,5,1,0.0,6,0.7875,0.7334375965257821,0.750849815972545,0.7875,2025-09-29T01:16:18.461753
uci,5,1,0.0,7,0.7845,0.7402413218253596,0.7454175760692815,0.7845,2025-09-29T01:16:18.464245
uci,5,1,0.0,8,0.7835,0.7360246230527456,0.7425952942973078,0.7835,2025-09-29T01:16:18.483912
uci,5,1,0.1,4,0.7886666666666666,0.7466051364547482,0.7535649285460089,0.7886666666666666,2025-09-29T01:16:18.491609
uci,5,1,0.1,5,0.7828333333333334,0.7205335614579349,0.7388376204155059,0.7828333333333334,2025-09-29T01:16:18.495998
uci,5,1,0.1,6,0.7853333333333333,0.7330523940402319,0.7456337208158771,0.7853333333333333,2025-09-29T01:16:18.498029
uci,5,1,0.1,7,0.7875,0.746218134203773,0.7516239488192091,0.7875,2025-09-29T01:16:18.518533
uci,5,1,0.2,4,0.7886666666666666,0.7466051364547482,0.7535649285460089,0.7886666666666666,2025-09-29T01:16:18.527519
uci,5,1,0.2,5,0.7828333333333334,0.7205335614579349,0.7388376204155059,0.7828333333333334,2025-09-29T01:16:18.529689
uci,5,1,0.1,8,0.783,0.7390040480221641,0.7427575261929862,0.783,2025-09-29T01:16:18.533539
uci,5,1,0.2,6,0.7853333333333333,0.7330523940402319,0.7456337208158771,0.7853333333333333,2025-09-29T01:16:18.552111
uci,5,1,0.3,4,0.7886666666666666,0.7466051364547482,0.7535649285460089,0.7886666666666666,2025-09-29T01:16:18.556980
uci,5,1,0.2,7,0.7875,0.746218134203773,0.7516239488192091,0.7875,2025-09-29T01:16:18.569198
uci,5,1,0.2,8,0.783,0.7390040480221641,0.7427575261929862,0.783,2025-09-29T01:16:18.571427
uci,5,1,0.3,5,0.7828333333333334,0.7205335614579349,0.7388376204155059,0.7828333333333334,2025-09-29T01:16:18.578503
uci,5,1,0.3,6,0.7853333333333333,0.7330523940402319,0.7456337208158771,0.7853333333333333,2025-09-29T01:16:18.588443
uci,5,1,0.4,4,0.7886666666666666,0.7466051364547482,0.7535649285460089,0.7886666666666666,2025-09-29T01:16:18.598961
uci,5,1,0.3,7,0.7875,0.746218134203773,0.7516239488192091,0.7875,2025-09-29T01:16:18.607660
uci,5,1,0.3,8,0.783,0.7390040480221641,0.7427575261929862,0.783,2025-09-29T01:16:18.609765
uci,5,1,0.4,5,0.7828333333333334,0.7205335614579349,0.7388376204155059,0.7828333333333334,2025-09-29T01:16:18.615450
uci,5,1,0.4,6,0.7853333333333333,0.7330523940402319,0.7456337208158771,0.7853333333333333,2025-09-29T01:16:18.629480
uci,5,1,0.5,4,0.7886666666666666,0.7466051364547482,0.7535649285460089,0.7886666666666666,2025-09-29T01:16:18.638516
uci,5,1,0.4,7,0.7875,0.746218134203773,0.7516239488192091,0.7875,2025-09-29T01:16:18.645363
uci,5,1,0.4,8,0.783,0.7390040480221641,0.7427575261929862,0.783,2025-09-29T01:16:18.649121
uci,5,1,0.5,5,0.7828333333333334,0.7205335614579349,0.7388376204155059,0.7828333333333334,2025-09-29T01:16:18.658295
uci,5,1,0.5,6,0.7853333333333333,0.7330523940402319,0.7456337208158771,0.7853333333333333,2025-09-29T01:16:18.669311
uci,5,1,0.6,4,0.7886666666666666,0.7466051364547482,0.7535649285460089,0.7886666666666666,2025-09-29T01:16:18.677194
uci,5,1,0.5,7,0.7875,0.746218134203773,0.7516239488192091,0.7875,2025-09-29T01:16:18.688862
uci,5,1,0.5,8,0.783,0.7390040480221641,0.7427575261929862,0.783,2025-09-29T01:16:18.689150
uci,5,1,0.6,5,0.7828333333333334,0.7205335614579349,0.7388376204155059,0.7828333333333334,2025-09-29T01:16:18.698779
uci,5,1,0.6,6,0.7853333333333333,0.7330523940402319,0.7456337208158771,0.7853333333333333,2025-09-29T01:16:18.708529
uci,5,1,0.6,7,0.7875,0.746218134203773,0.7516239488192091,0.7875,2025-09-29T01:16:18.725366
uci,5,1,0.7,4,0.7886666666666666,0.7466051364547482,0.7535649285460089,0.7886666666666666,2025-09-29T01:16:18.725984
uci,5,1,0.6,8,0.783,0.7390040480221641,0.7427575261929862,0.783,2025-09-29T01:16:18.730249
uci,5,1,0.7,5,0.7828333333333334,0.7205335614579349,0.7388376204155059,0.7828333333333334,2025-09-29T01:16:18.734498
uci,5,1,0.8,4,0.7886666666666666,0.7466051364547482,0.7535649285460089,0.7886666666666666,2025-09-29T01:16:18.759112
uci,5,1,0.7,6,0.7853333333333333,0.7330523940402319,0.7456337208158771,0.7853333333333333,2025-09-29T01:16:18.763512
uci,5,1,0.7,7,0.7875,0.746218134203773,0.7516239488192091,0.7875,2025-09-29T01:16:18.768458
uci,5,1,0.7,8,0.783,0.7390040480221641,0.7427575261929862,0.783,2025-09-29T01:16:18.770818
uci,5,1,0.8,5,0.7828333333333334,0.7205335614579349,0.7388376204155059,0.7828333333333334,2025-09-29T01:16:18.793623
uci,5,1,0.8,6,0.7853333333333333,0.7330523940402319,0.7456337208158771,0.7853333333333333,2025-09-29T01:16:18.799838
uci,5,1,0.8,7,0.7875,0.746218134203773,0.7516239488192091,0.7875,2025-09-29T01:16:18.808006
uci,5,1,0.8,8,0.783,0.7390040480221641,0.7427575261929862,0.783,2025-09-29T01:16:18.810947
uci,5,1,0.9,4,0.7886666666666666,0.7466051364547482,0.7535649285460089,0.7886666666666666,2025-09-29T01:16:18.823831
uci,5,1,0.9,5,0.7828333333333334,0.7205335614579349,0.7388376204155059,0.7828333333333334,2025-09-29T01:16:18.829451
uci,5,1,0.9,6,0.7853333333333333,0.7330523940402319,0.7456337208158771,0.7853333333333333,2025-09-29T01:16:18.837432
uci,5,1,0.9,7,0.7875,0.746218134203773,0.7516239488192091,0.7875,2025-09-29T01:16:18.843515
uci,5,1,0.9,8,0.783,0.7390040480221641,0.7427575261929862,0.783,2025-09-29T01:16:18.857211
uci,5,1,1.0,4,0.7886666666666666,0.7466051364547482,0.7535649285460089,0.7886666666666666,2025-09-29T01:16:18.859192
uci,5,1,1.0,5,0.7828333333333334,0.7205335614579349,0.7388376204155059,0.7828333333333334,2025-09-29T01:16:18.863740
uci,5,1,1.0,6,0.7853333333333333,0.7330523940402319,0.7456337208158771,0.7853333333333333,2025-09-29T01:16:18.872121
uci,5,2,0.0,4,0.786,0.7403299380834751,0.747911854391981,0.786,2025-09-29T01:16:18.888650
uci,5,1,1.0,7,0.7875,0.746218134203773,0.7516239488192091,0.7875,2025-09-29T01:16:18.906840
uci,5,1,1.0,8,0.783,0.7390040480221641,0.7427575261929862,0.783,2025-09-29T01:16:18.907324
